id,min,max,mean,sd
1,44.025,47.368,45.743249999999996,1.4283854230097248
10,51.485,54.503,53.038,1.3126446586948055
100,50.811,53.969,52.38775,1.3469118691782822
11,54.228,57.632,55.9315,1.457206802985308
12,46.5,49.381,47.96225,1.264544812702711
13,55.364,58.22,56.744499999999995,1.229222111743846
14,52.662,55.771,54.19125,1.3294195161799012
15,57.853,60.865,59.38475,1.2968871384974106
16,53.541,55.73,54.653999999999996,0.9287220610423054
17,44.517,47.191,45.8525,1.159326672397963
18,56.826,59.964,58.479,1.3525770464807783
19,59.151,62.561,60.865500000000004,1.4595831596726496
2,51.992,54.83,53.36175,1.2385218003733327
20,45.458,49.315,47.42525,1.6670011747646325
21,47.813,50.619,49.231249999999996,1.1939308676245306
22,55.081,58.386,56.73625,1.415473389600336
23,45.579,49.433,47.538999999999994,1.66487877436567
24,53.501,56.688,55.10225,1.3902907070105899
25,50.659,53.616,52.134249999999994,1.2796831313519255
26,51.947,54.763,53.3675,1.2284615039416826
27,54.198,57.311,55.720000000000006,1.3601335718720176
28,55.26,58.084,56.676,1.2102828870419808
29,55.784,58.574,57.23675,1.1741537023178297
3,63.313,66.504,64.884,1.3959949856643483
30,48.563,51.44,50.0175,1.230675830590653
31,49.555,52.519,51.0285,1.2970871212065895
32,56.384,59.096,57.75375,1.176377596692489
33,47.843,50.375,49.15625,1.1010181273106552
34,53.846,56.468,55.12075,1.0980799530696022
35,48.795,51.643,50.281,1.2412598438683176
36,46.24,49.054,47.63625,1.2169503892928417
37,52.086,54.82,53.463499999999996,1.1790206387789266
38,51.61,54.305,53.02125,1.1495762625129893
39,53.459,56.371,54.914,1.245515422091058
4,52.381,55.072,53.779250000000005,1.1666362972237763
40,52.222,55.076,53.664,1.2196338248288563
41,54.792,57.352,56.159,1.106820973177985
42,56.472,59.192,57.79975,1.1742715117609435
43,42.954,46.171,44.52825,1.382339653148482
44,50.023,52.929,51.48875,1.2644615125288174
45,46.988,49.411,48.22225,1.0417832068141633
46,45.654,48.481,47.0615,1.2103488477845268
47,44.042,47.192,45.63725000000001,1.3875281078234047
48,53.536,56.236,54.900749999999995,1.1762770011070227
49,51.252,54.265,52.732,1.3044480314166083
5,49.67,52.533,51.00475,1.2236550099326746
50,55.363,58.356,56.8375,1.2860975857220167
51,51.765,55.272,53.5415,1.5133231644298573
52,55.746,58.651,57.12350000000001,1.237466901914284
53,49.74,52.654,51.1515,1.240784294979054
54,53.695,57.346,55.5645,1.5727374224580513
55,53.268,56.928,55.13175,1.564629961577709
56,53.283,55.694,54.432,1.0242138448585834
57,48.396,51.281,49.878,1.2391983968141123
58,45.4,48.834,47.0345,1.4568327517826718
59,55.008,57.445,56.301249999999996,1.0499290055364057
6,50.33,53.31,51.8215,1.2912537834730005
60,46.621,49.498,48.015,1.250944976141368
61,43.004,46.024,44.533500000000004,1.3041626943496492
62,58.876,62.21,60.548750000000005,1.431630160574535
63,49.96,53.016,51.45525,1.328312557344843
64,48.5,51.822,50.231,1.4406688261591103
65,49.414,52.51,50.946999999999996,1.3433795690967845
66,50.388,53.392,51.91475,1.3262818642103713
67,48.207,50.754,49.4955,1.093384500835211
68,55.408,57.159,56.349,0.7317271804891939
69,49.44,52.677,51.047,1.3907400907430554
7,44.528,46.937,45.738749999999996,1.022147861123819
70,53.558,56.789,55.18325,1.3637708446314094
71,56.222,59.207,57.70975,1.2899419560584886
72,57.037,60.528,58.7425,1.5102892658913603
73,52.027,54.755,53.34775,1.1986930035111862
74,71.988,74.31,73.152,0.9843996478395702
75,50.244,53.599,51.933249999999994,1.4392042650946602
76,54.039,56.992,55.483,1.266587804562583
77,57.698,61.095,59.27,1.4531361487027512
78,52.023,54.628,53.361999999999995,1.1469446368504437
79,49.521,52.381,51.01025,1.2352066966031767
8,54.315,56.885,55.629,1.0905506254487538
80,44.217,46.971,45.56225,1.1726253664320918
81,55.584,58.69,57.085499999999996,1.3183852497152193
82,52.27,54.642,53.38225,1.0298693687389027
83,64.355,66.372,65.37975,0.8576904550399657
84,47.583,50.351,49.03725,1.2043881918495658
85,47.873,50.661,49.225750000000005,1.209447635630968
86,71.409,73.957,72.69875,1.1005248369149392
87,49.198,52.342,50.724000000000004,1.3581889902857163
88,49.791,52.909,51.37,1.344926763805376
89,43.96,46.643,45.28875,1.1546302077577333
9,54.827,58.047,56.385,1.4111187051414198
90,51.053,54.016,52.564499999999995,1.3209073901426005
91,46.992,50.424,48.738,1.4658631132089615
92,46.382,49.544,48.03874999999999,1.361342321632097
93,58.78,61.636,60.180749999999996,1.2215425698681157
94,50.67,53.555,52.0855,1.2369981137145407
95,58.31,60.325,59.2645,0.8272550997122959
96,50.116,52.926,51.497749999999996,1.211916491897579
97,55.198,58.273,56.65575,1.3210368087226043
98,49.241,51.658,50.484750000000005,1.0610002748978593
99,49.159,51.689,50.38675,1.0859884514425866
